conclusion,applicability,externalsources,appno,violation,languageisocode,originatingbody,itemid,importance,judgementdate,docname,ecli,scl,nonviolation,doctype,representedby,separateopinion,respondent,rulesofcourt,issue,referencedate,publishedby,doctypebranch,article,rank,extractedappno
Communicated,,,19835/18,,ENG,,001-211285,4,,RUDOY v. RUSSIA,,,,HECOM,,,RUS,,,,,COMMUNICATEDCASES,8;8-1;10;10-1;11;11-1,4.7934923,19835/18;43514/15;35252/08;16428/05;25501/07
Communicated,,,33696/19,,ENG,,001-211286,4,,PODCHASOV v. RUSSIA,,,,HECOM,DARBINYAN S. S.,,RUS,,,,,COMMUNICATEDCASES,8;8-1;13,4.7934923,33696/19;47143/06
Communicated,,,35075/18,,ENG,,001-211287,4,,Z v. RUSSIA,,,,HECOM,,,RUS,,,,,COMMUNICATEDCASES,8;8-1,4.7934923,35075/18;588/13;61496/08;1874/13;8567/13
Communicated,,,35511/20,,ENG,,001-211288,4,,GHERARDI MARTIRI v. SAN MARINO,,,,HECOM,DAVIDSON S.,,SMR,,,,,COMMUNICATEDCASES,6;6-1;P1-1,4.7934923,35511/20;54522/00
Communicated,,,57185/17,,ENG,,001-211289,4,,O.H. AND OTHERS v. SERBIA,,,,HECOM,KOVACEVIC N.,,SRB,,,,,COMMUNICATEDCASES,3;5;5-1-f;5-2;5-4;13;P4-4,4.7934923,57185/17;27765/09;40035/98;37201/06;51564/99;16643/09;13255/07;8675/15;8697/15;25803/94;50213/08;70427/11;29217/12;14097/12;9347/14;2512/04;39472/07;39474/07;16483/12;43395/09;2237/08;42337/12;22696/16
Communicated,,,3158/20,,ENG,,001-211290,4,,H.G.D. v. SERBIA,,,,HECOM,KOVACEVIC N.,,SRB,,,,,COMMUNICATEDCASES,5;5-1-f;5-2;5-4;5-5,4.7934923,3158/20;45355/99;45357/99;29787/03;29810/03;2512/04
Communicated,,,4283/16,,ENG,,001-211291,4,,PEŠIĆ v. SERBIA,,,,HECOM,,,SRB,,,,,COMMUNICATEDCASES,6;6-3-d,4.7934923,4283/16;7203/12;24463/11;55287/10;5699/11;130/05
Communicated,,,19085/18,,ENG,,001-211292,4,,ÇAĞIL v. TURKEY,,,,HECOM,DAVUT E.,,TUR,,,,,COMMUNICATEDCASES,6;6-1;13,4.7934923,19085/18;37569/06
Communicated,,,41678/20,,ENG,,001-211294,4,,FUTORNYAK v. UKRAINE,,,,HECOM,,,UKR,,,,,COMMUNICATEDCASES,13;P1-1,4.7934923,41678/20
Communicated,,,43929/15,,ENG,,001-211295,4,,KOROTCHENKO v. UKRAINE,,,,HECOM,MIZIN V. M.,,UKR,,,,,COMMUNICATEDCASES,6;6-1,4.7934923,43929/15;74420/01;59696/00;10071/04;23200/10;6228/09
Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing),,,43639/17,6;6-1,ENG,7,001-211308,4,13/07/2021 00:00:00,CASE OF BIO FARMLAND BETRIEBS S.R.L. v. ROMANIA,ECLI:CE:ECHR:2021:0713JUD004363917,,,HEJUD,GALANTON M.,FALSE,ROU,,,,,CHAMBER,6;6-1,4.7934923,
No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Access to court),38,Regulations of the Fédération Internationale de Football Association (FIFA);2008 FIFA Regulations on the Status and Transfer of Players;Article 14 of the Turkish Football Federation Statutes on the Arbitration Committee (TFF),74989/11,,ENG,6,001-211309,3,13/07/2021 00:00:00,CASE OF ALI RIZA v. SWITZERLAND,ECLI:CE:ECHR:2021:0713JUD007498911,"Al-Dulimi and Montana Management Inv. v. Switzerland [GC], no 5809/08, ECHR 2016;Ali Rıza and Others v. Turkey, nos. 30226/10 and 4 others, 28 January 2020;Anheuser-Busch Inv. v. Portugal [GC], no 73049/01, §§ 85-86, ECHR 2007-I;Avotiņš v. Latvia [GC], no 17502/07, § 119, 23 May 2016;Baka v. Hungary [GC], no 20261/12, § 120, 23 June 2016;Běleš and Others v. the Czech Republic, no 47273/99, § 49, ECHR 2002 IX;Döry v. Sweden, no 28394/95, § 37, 12 November 2002;Eşim v. Turkey, no 59601/09, § 18, 17 September 2013;Gautrin and Others v. France, 20 May 1998, § 43, Reports of Judgments and Decisions 1998 III;Golder v. the United Kingdom, 21 February 1975, § 36, Series A no 18;Howald Moor and Others v. Switzerland, nos. 52067/10 and 41072/11, §§ 70-71, 11 March 2014;Jurisic and Collegium Mehrerau v. Austria, no 62539/00, § 65, 27 July 2006;Konkurrenten.no AS v. Norway (dec.), no 47341/15, §§ 46-47, 5 November 2019;Kopp v. Switzerland, 25 March 1998, § 59, Reports 1998-II;Kruslin v. France, 24 April 1990, § 29, Series A no 176 A;Lithgow and Others v. the United Kingdom, 8 July 1986, § 201, Series A no 102;Mehmet Emin Şimşek v. Turkey, no 5488/05, §§ 30 31, 28 February 2012;Miholapa v. Latvia, no 61655/00, § 24, 31 May 2007;Mutu and Pechstein v. Switzerland, nos. 40575/10 and 67474/10, § 179, 2 October 2018;Naït-Liman v. Switzerland [GC], no 51357/07, § 113, 15 March 2018;Nusret Kaya and Others v. Turkey, nos. 43750/06, 43752/06, 32054/08, 37753/08 and 60915/08, § 38, ECHR 2014 (extracts);Obermeier v. Austria, 28 June 1990, § 68, Series A no 179;Pursiheimo v. Finland (dec.), no 57795/00, 25 November 2003;Ramos Nunes de Carvalho e Sá v. Portugal [GC], nos. 55391/13 and 2 others, § 190, 6 November 2018;Şahin Karakoç v. Turkey, no 19462/04, § 36, 29 April 2008;Schlumpf v. Switzerland, no 29002/06, 8 January 2009;Stagno v. Belgium, no 1062/07, § 25, 7 July 2009;Stanev v. Bulgaria [GC], no 36760/06, § 230, ECHR 2012;Stubbings and Others v. the United Kingdom, 22 October 1996, § 50, Reports 1996-IV;Suda v. the Czech Republic, no 1643/06, §§ 48-49, 28 October 2010;Varela Assalino v. Portugal (dec.), no 64336/01, 25 April 2002;Yabansu and Others v. Turkey, no 43903/09, § 58, 12 November 2013;Zubac v. Croatia [GC], no 40160/12, § 78, 5 April 2018",6;6-1,HEJUD,VALLONI L. ,TRUE,CHE,,Article R47 of the CAS Code of Sports-related Arbitration,,,CHAMBER,6;6-1,4.7934923,74989/11;30226/10;40575/10;67474/10;5809/08;59601/09;47273/99;52067/10;41072/11;20261/12;43903/09;36760/06;1062/07;1643/06;43750/06;43752/06;32054/08;37753/08;60915/08;73049/01;51357/07;40160/12;47341/15;7198/07;29002/06;55391/13;28394/95;57795/00;19462/04;64336/01;62539/00;5488/05;17502/07;61655/00;35622/04;3599/18;1398/03;11987/11;55721/07;27765/09;47708/08;38263/08;415/07
Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Deprivation of property);Pecuniary damage - claim dismissed (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction),,,28241/18,P1-1;P1-1-1,ENG,5,001-211311,3,13/07/2021 00:00:00,CASE OF YEL AND OTHERS v. TURKEY,ECLI:CE:ECHR:2021:0713JUD002824118,"Alfa Glass Anonymi Emboriki Etairia Yalopinakon v. Greece, no 74515/13, §§ 36-44, 28 January 2021;Ališić and Others v. Bosnia and Herzegovina, Croatia, Serbia, Slovenia and the former Yugoslav Republic of Macedonia [GC], no 60642/08, § 98, ECHR 2014;Avyidi v. Turkey, no 22479/05, §§ 119-131, 16 July 2019;Béláné Nagy v. Hungary [GC], no 53080/13, § 112, 13 December 2016;Bistrović v. Croatia, no 25774/05, § 28, 31 May 2007;Gherghina v. Romania (dec.) [GC], no 42219/07, § 85, 9 July 2015;Guberina v. Croatia, no 23682/13, § 52, 22 March 2016;Kaynar and Others v. Turkey, nos. 21104/06 and 2 others, §§ 64-82, 7 May 2019;Lekić v. Slovenia [GC], no 36480/07, § 95, 11 December 2018;Muhammad and Muhammad v. Romania [GC], no 80982/12, § 122, 15 October 2020;Muharrem Güneş and Others v. Turkey, no 23060/08, §§ 87-95, 24 November 2020;Radomilja and Others v. Croatia [GC], nos. 37685/10 and 22768/12, §§ 114-126, 20 March 2018;Tokel v. Turkey, no 23662/08, §§ 82-90, 9 February 2021;Vistiņš and Perepjolkins v. Latvia [GC], no 71243/01, § 96, 25 October 2012;Vučković and Others v. Serbia (preliminary objection) [GC], nos. 17153/11 and 29 others, §§ 70-71, 25 March 2014",,HEJUD,KARAARSLAN Y. ,FALSE,TUR,,,,,CHAMBER,41;P1-1;P1-1-1,4.7934923,
Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for family life);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction),,,28443/19,8;8-1,ENG,7,001-211312,3,13/07/2021 00:00:00,CASE OF NEVES CARATÃO PINTO v. PORTUGAL,ECLI:CE:ECHR:2021:0713JUD002844319,"Buchleither v. Germany, no 20106/13, § 46, 28 April 2016;Couillard Maugery v. France, no 64796/01, § 272, 1 July 2004;E.C. v. Italy, (dec.), no 82314/17, § 58, 30 June 2020;Elsholz v. Germany [GC], no 25735/94, § 49, ECHR 2000-VIII;Görgülü v. Germany, no 74969/01, § 46, 26 February 2004;Hokkanen v. Finland, 23 September 1994, Series A no 299 A;Iglesias Casarrubios and Cantalapiedra Iglesias v. Spain, no 23298/12, § 42, 11 October 2016;K. and T. v. Finland [GC], no 25702/94, § 179, ECHR 2001 VII;Kramer v. Croatia [Committee], no 58767/15, § 79, 18 June 2019;Kutzner v. Germany, no 46544/99, §§ 65-66, ECHR 2002 I;M. and M. v. Croatia, no 10161/13, § 171, ECHR 2015 (extracts);M.K. v. Greece, no 51312/16, § 88, 1 February 2018;Maire v. Portugal, no 48206/99, ECHR 2003-VI;Maktouf and Damjanović v. Bosnia and Herzegovina [GC], nos. 2312/08 and 34179/08, § 94, ECHR 2013;Maršálek v. the Czech Republic, no 8153/04, § 72, 4 April 2006;Olsson v. Sweden (no 1), 24 March 1988, § 81, Series A no 130;Olsson v. Sweden (no 2), 27 November 1992, § 90, Series A no 250;Omorefe v. Spain, no 69339/16, § 41, 23 June 2020;Pontes v. Portugal, no 19554/09, § 98, 10 April 2012;Radomilja and Others v. Croatia [GC], nos. 37685/10 and 22768/12, §§ 114 and 126, ECHR 2018;Santos Nunes v. Portugal, no 61173/08, § 68, 22 May 2012;Soares de Melo v. Portugal, no 72850/14, 16 February 2016;Strand Lobben and Others v. Norway [GC], no 37283/13, §§ 204-208, 10 September 2019;W. v. the United Kingdom, 8 July 1987, § 65, Series A no 121;Y.I. v. Russia, no 68868/14, § 94, 25 February 2020;Zhou v. Italy, no 33773/11, § 47, 21 January 2014",,HEJUD,NEVES ALMEIDA M.C. ; PENHA GONÇALVES P. ,FALSE,PRT,,,,,CHAMBER,8;8-1;8-2;41,4.7934923,
Inadmissible,,,61984/12,,ENG,26,001-211315,4,,YAĞLI v. TURKEY,ECLI:CE:ECHR:2021:0622DEC006198412,,,HEDEC,SUKUROGLU F.,,TUR,,,,,ADMISSIBILITYCOM,2;2-1;35,4.7934923,61984/12;41720/13;71186/11;34885/06
Inadmissible,,,32834/18,,ENG,26,001-211317,4,,AZIZ THAMER AL-EBRAH v. DENMARK,ECLI:CE:ECHR:2021:0622DEC003283418,,,HEDEC,JACOBSEN B. D.,,DNK,,,,,ADMISSIBILITYCOM,8;8-1;8-2;14;14+8;35,4.7934923,32834/18;17153/11;64372/11;35553/12
Inadmissible,,,5862/19,,ENG,26,001-211321,4,,STEPANOV v. LITHUANIA,ECLI:CE:ECHR:2021:0622DEC000586219,,,HEDEC,MIKULSKAS R.,,LTU,,,,,ADMISSIBILITYCOM,5;5-1;5-1-a;35,4.7934923,5862/19;13229/03;11036/03
Inadmissible,,,60333/10,,ENG,27,001-211323,4,,SHILOV v. RUSSIA,ECLI:CE:ECHR:2021:0622DEC006033310,,,HEDEC,,,RUS,,,,,ADMISSIBILITYCOM,3;13;35,4.7934923,60333/10;49790/99;72967/01;41794/04;5742/02
Inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded,32,,35751/20,,ENG,7,001-211324,3,,BAH v. THE NETHERLANDS,ECLI:CE:ECHR:2021:0622DEC003575120,"Abdulkhakov v. Russia, no. 14743/11, § 214, 2 October 2012;Amie and Others v. Bulgaria, no. 58149/08, § 109, 12 February 2013;Bah v. the Netherlands (dec.), no. 22842/04, 20 September 2007;Fodale v. Italy, no. 70148/01, § 27, ECHR 2006-VII;Khlaifia and Others v. Italy [GC], no. 16483/12, 15 December 2016;Magalhães Pereira v. Portugal, no. 44872/98, § 56, ECHR 2002 I;N.C. v. Italy [GC], no. 24952/94, § 49, ECHR 2002 X;Radomilja and Others v. Croatia [GC], nos. 37685/10 and 22768/12, § 126, 20 March 2018;Reinprecht v. Austria, no. 67175/01, §§ 47‑55, ECHR 2005‑XII;Sanchez-Reisse v. Switzerland, 21 October 1986, Series A no. 107;Stanev v. Bulgaria [GC], no. 36760/06, ECHR 2012;Winterwerp v. the Netherlands, 24 October 1979, Series A no. 33;X and Others v. Bulgaria [GC], no. 22457/16, § 149, 2 February 2021;Yefimova v. Russia, no. 39786/09, § 283, 19 February 2013",,HEDEC,WIEBES J.G.,,NLD,,COVID-19 Justice and Security (Temporary Measures) Act,,,ADMISSIBILITY,5;5-1;5-4;35;35-3-a,4.7934923,35751/20;36760/06;587/25;22842/04;37685/10;22768/12;22457/16;67175/01;70148/01;58149/08;44872/98;39786/09;16483/12;14743/11;24952/94
Inadmissible,,,45240/09,,ENG,29,001-211325,4,,DOROGYKH v. UKRAINE,ECLI:CE:ECHR:2021:0624DEC004524009,,,HEDEC,KALMYKOV T.,,UKR,,,,,ADMISSIBILITYCOM,6;6-1;13;35,4.7934923,45240/09;5355/15;44913/15;50853/15;47287/99;32514/12;11946/11;24014/05
Inadmissible,,,46176/14,,ENG,29,001-211326,4,,SIMOVSKI v. NORTH MACEDONIA,ECLI:CE:ECHR:2021:0624DEC004617614,,,HEDEC,SPIROVSKI I.,,MKD,,,,,ADMISSIBILITYCOM,6;6-1;8;8-1;8-2;35,4.7934923,46176/14;115/07;35394/97;75229/10;41604/98;5201/11;63638/14;44787/98;4378/02
Inadmissible,,,46889/16,,ENG,29,001-211327,4,,BEKIR AND OTHERS v. NORTH MACEDONIA,ECLI:CE:ECHR:2021:0624DEC004688916,,,HEDEC,EUROPEAN ROMA RIGHTS CENTRE,,MKD,,,,,ADMISSIBILITYCOM,3;8;8-1;8-2;10;13;13+3;13+8;14;14+10;14+3;14+8;35;P12-1,4.7934923,46889/16;17153/11;78241/13;26984/05;55569/08;56148/15;41107/07;25615/07;27013/07;63945/09;25446/06;15920/16;4051/13;46577/15;48939/99;39168/03;67259/14;69875/01;37973/05;67914/01;173/17
Inadmissible,,,57008/18,,ENG,29,001-211328,4,,TAUTERS v. LATVIA,ECLI:CE:ECHR:2021:0624DEC005700818,,,HEDEC,TANASI V.,,LVA,,,,,ADMISSIBILITYCOM,6;6-1;35,4.7934923,57008/18;41553/18;4451/70;63235/00;30979/96;931/13;15016/07
Violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect);No violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect);Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect),,,29120/06;2378/08;44541/08;46231/09;66227/10;61817/11;10031/13;42417/13;31915/14,3,ENG,27,001-211329,4,27/07/2021 00:00:00,CASE OF MININ AND OTHERS v. RUSSIA,ECLI:CE:ECHR:2021:0727JUD002912006,,3,HEJUD,PREOBRAZHENSKAYA O.V. ; COMMITTEE AGAINST TORTURE ; KIRYUKHIN S.I. ; YEFREMOVA Y.V.,FALSE,RUS,,,,,COMMITTEE,3,4.7934923,29120/06;2378/08;44541/08;46231/09;66227/10;61817/11;10031/13;42417/13;31915/14;46956/09;13642/06;10511/10;32631/09;53799/12;22947/93;22948/93;27610/05;8461/03;76635/11;33469/06;45044/06;2674/07;10825/09
Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression),,,16683/17,10;10-1,ENG,6,001-211349,4,20/07/2021 00:00:00,CASE OF YARTSEV v. RUSSIA,ECLI:CE:ECHR:2021:0720JUD001668317,,,HEJUD,GLUSHKOVA T.,FALSE,RUS,,,,,CHAMBER,10;10-1,4.7934923,16683/17;57818/09;40721/08;29580/12;21613/07;65808/10;15450/03;23160/09;64569/09;47848/08
"Violation of Article 8+9 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for family life;Respect for private life) (Article 9 - Freedom of thought, conscience and religion;Article 9-1 - Manifest religion or belief;Article 9-2 - Interference;Necessary in a democratic society;Protection of health);Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for family life;Respect for private life);Pecuniary damage - claim dismissed (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)",55;58,,12886/16,8;8+9;8-1;9;9-1;9-2,ENG,7,001-211365,1,20/07/2021 00:00:00,CASE OF POLAT v. AUSTRIA,ECLI:CE:ECHR:2021:0720JUD001288616,"A, B and C v. Ireland [GC], no. 25579/05, ECHR 2010;Airey v. Ireland, 9 October 1979, § 32, Series A no. 32;Delfi AS v. Estonia [GC], no. 64569/09, § 120, ECHR 2015;Dickson v. the United Kingdom [GC], no. 44362/04, § 78, ECHR 2007 V;Elberte v. Latvia, no. 61243/08, ECHR 2015;Evans v. the United Kingdom [GC], no. 6339/05, § 77, ECHR 2007 I;Girard v. France, no. 22590/04, § 107, 30 June 2011;Glass v. the United Kingdom, no. 61827/00, § 71, ECHR 2004‑II;Gülbahar Özer and Yusuf Özer v. Turkey, no. 64406/09, § 26, 29 May 2018;Hadri‑Vionnet v. Switzerland, no. 55525/00, 14 February 2008;Hämäläinen v. Finland [GC], no. 37359/09, § 67, ECHR 2014;Hokkanen v. Finland, judgment of 23 September 1994, § 55, Series A no. 299-A, p. 20;İzzettin Doğan and Others v. Turkey [GC], no. 62649/10, 26 April 2016;Johannische Kirche and Peters v. Germany (dec.), no. 41754/98, 10 July 2001;Jones v. United Kingdom (dec.), no. 42639/04, 13 September 2005;Lozovyye v. Russia, no. 4587/09, 24 April 2018;Molla Sali v. Greece [GC], no. 20452/14, § 89, 19 December 2018;Pannullo and Forte v. France, no. 37794/97, §§ 35-36, ECHR 2001‑X;Paradiso and Campanelli v. Italy [GC], no. 25358/12, § 179, 24 January 2017;Petrova v. Latvia, no. 4605/05, § 77, 24 June 2014;Roche v. the United Kingdom [GC], no. 32555/96, §§ 155-56, ECHR 2005‑X;S.H. and Others v. Austria [GC], no. 57813/00, § 94, ECHR 2011;Sargsyan v. Azerbaijan [GC], no. 40167/06, § 255, ECHR 2015;Solska and Rybicka v. Poland, nos. 30491/17 and 31083/17, 20 September 2018;Vavřička and Others v. the Czech Republic [GC], no. 47621/13 and 5 others, 8 April 2021;Vučković and Others v. Serbia (preliminary objection) [GC], nos. 17153/11 and 29 others, § 72, 25 March 2014;X, Y and Z v. the United Kingdom, 22 April 1997, § 41, Reports 1997 II;Yıldırım v. Turkey (dec.), 25327/02, 11 September 2007",,HEJUD,PICHLER K.P. ,TRUE,AUT,,"Section 25 of the Hospital Act ; Section 12(3) of the Funeral Act

",,,CHAMBER,2;2-1;8;8+9;8-1;8-2;9;9-1;9-2;41,4.7934923,12886/16;40167/06;42639/04;4605/05;61243/08;41754/98;30491/17;31083/17;62649/10;64569/09;25358/12;25579/05;57813/00;37359/09;6339/05;44362/04;47621/13;32555/96;4587/09;64406/09;37794/97;22590/04;55525/00;25327/02;17153/11;61827/00;20452/14;4824/06;15512/08;8857/08;62198/11;22277/93;59450/00;42525/07;60800/08;22689/07;57818/09;32631/09;30210/96;75529/01
Preliminary objection dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;Violation of Article 2 of Protocol No. 7 - Right of appeal in criminal matters (Article 2 of Protocol No. 7 - Review of conviction);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction),,,71155/17,P7-2,ENG,6,001-211367,3,20/07/2021 00:00:00,CASE OF Y.B. v. RUSSIA,ECLI:CE:ECHR:2021:0720JUD007115517,"De Geouffre de la Pradelle v. France, 16 December 1992, § 34, Series A no. 253 B;Jovanović v. Serbia, no. 32299/08, § 50, 2 October 2012;Krombach v. France, no. 29731/96, § 96, ECHR 2001 II;Maširević v. Serbia, no. 30671/08, § 48, 11 February 2014;Mifsud v. France (dec.) [GC], no. 57220/00, § 15, ECHR 2002 VIII;Molla Sali v. Greece [GC], no. 20452/14, § 149, 19 December 2018;Naït-Liman v. Switzerland [GC], no. 51357/07, §§ 114-15, 15 March 2018;Nicolae Virgiliu Tănase v. Romania [GC], no. 41720/13, § 195, 25 June 2019;Öcalan v. Turkey [GC], no. 46221/99, § 210 in fine, ECHR 2005 IV;Poitrimol v. France, 23 November 1993, § 35, Series A no. 277 A;Popov v. Russia, no. 26853/04, § 263, 13 July 2006;Radomilja and Others v. Croatia [GC], nos. 37685/10 and 22768/12, § 149, 20 March 2018",,HEJUD,ARNOD O.,FALSE,RUS,,"<div class=""ExternalClassA72AEDAE36504896B5E3C6064C8C83D4"">Code of Criminal Procedure of the Russian Federation </div>",,,CHAMBER,35;35-1;41;P7-2,4.7934923,71155/17;57220/00;29731/96;51357/07;41720/13;37685/10;22768/12;20452/14;32299/08;30671/08;46221/99;26853/04
Communicated,,,51751/20,,ENG,,001-211374,4,,TULEYA v. POLAND (No. 2) ,,,,HECOM,GREGORCZYK-ABRAM S. ; WAWRYKIEWICZ M. ; EJCHART-DUBOIS M.,,POL,,,,,COMMUNICATEDCASES,6;6-1;13,4.7934923,51751/20;21181/19;1335/17;585/18;624/18;625/18;7/18;487/19;508/19;791/19;204/21;7/20;20261/12;33392/12;36889/18;26374/18;76639/11
Communicated,,,21141/20,,ENG,,001-211380,4,,BALA v. ALBANIA,,,,HECOM,POWLES S.,,ALB,,,,,COMMUNICATEDCASES,6;6-1;8;8-1,4.7934923,21141/20;76639/11;15227/19
Communicated,,,1718/21,,ENG,,001-211381,4,,A.P. v. AUSTRIA,,,,HECOM,GRAUPNER H.,,AUT,,,,,COMMUNICATEDCASES,2;2-1;3;8;8-1,4.7934923,1718/21;52013/08;26772/95
Communicated,,,16205/21,,ENG,,001-211383,4,,G.K. v. CYPRUS,,,,HECOM,EMILIANIDES A. C.,,CYP,,,,,COMMUNICATEDCASES,8;8-1,4.7934923,16205/21;27853/09;2171/14
Communicated,,,31022/20,,ENG,,001-211384,4,,TZIOUMAKA v. GREECE,,,,HECOM,,,GRC,,,,,COMMUNICATEDCASES,8;8-1,4.7934923,31022/20
Communicated,,,10477/21,,ENG,,001-211385,4,,BYČENKO v. LITHUANIA,,,,HECOM,MIKULSKAS R.,,LTU,,,,,COMMUNICATEDCASES,8;8-1,4.7934923,10477/21;27853/09;21243/17;30078/06
Communicated,,,12471/20,,ENG,,001-211386,4,,E.L. v. LITHUANIA,,,,HECOM,POVILIUS D.,,LTU,,,,,COMMUNICATEDCASES,3,4.7934923,12471/20;41261/17
Communicated,,,18169/20,,ENG,,001-211387,4,,STRZAŁKOWSKI v. POLAND,,,,HECOM,,,POL,,,,,COMMUNICATEDCASES,8;8-1,4.7934923,18169/20
Communicated,,,51395/20,,ENG,,001-211388,4,,AO v. POLAND,,,,HECOM,,,POL,,,,,COMMUNICATEDCASES,8;8-1,4.7934923,51395/20
Communicated,,,53658/20,,ENG,,001-211389,4,,R.N. v. POLAND,,,,HECOM,,,POL,,,,,COMMUNICATEDCASES,P7-4,4.7934923,53658/20;14939/03
Communicated,,,2317/19;3813/19;61447/19;44333/20,,ENG,,001-211391,4,,AYDOGDU v. RUSSIA and 3 other applications,,,,HECOM,FILIMONOVA E. ; PONOSOV B. ; MARALYAN A.,,RUS,,,,,COMMUNICATEDCASES,8;8-1,4.7934923,2317/19;3813/19;61447/19;44333/20;29790/14;29157/09;46410/99;12738/10
Communicated,,,16855/18,,ENG,,001-211393,4,,FEDOROVA v. RUSSIA,,,,HECOM,MINENKOV S. A.,,RUS,,,,,COMMUNICATEDCASES,6;6-1;8;8-1,4.7934923,16855/18;55391/13;33060/10;19673/03;14414/03;63777/09
Communicated,,,28304/16,,ENG,,001-211394,4,,NASYROV v. RUSSIA,,,,HECOM,,,RUS,,,,,COMMUNICATEDCASES,P1-1,4.7934923,28304/16;23202/05
Communicated,,,10497/21,,ENG,,001-211396,4,,TSVETKOVA v. RUSSIA,,,,HECOM,PLYUSNINA A. V.,,RUS,,,,,COMMUNICATEDCASES,6;6-1;10;10-1;14,4.7934923,10497/21;67667/09;926/08
Communicated,,,19933/17,,ENG,,001-211397,4,,MATOVIĆ v. SERBIA,,,,HECOM,AVRAMOVIC G.,,SRB,,,,,COMMUNICATEDCASES,13;P1-1,4.7934923,19933/17
Communicated,,,24989/17,,ENG,,001-211398,4,,ĐURIĆ v. SERBIA,,,,HECOM,ALEKSIC S.,,SRB,,,,,COMMUNICATEDCASES,6;6-1;14;P1-1,4.7934923,24989/17;35289/11;25735/94;28621/15;55391/13;76943/11;26111/02;65731/01;65900/01;53068/08;37598/97
Communicated,,,22225/19,,ENG,,001-211399,4,,K.O. AND OTHERS v. THE UNITED KINGDOM,,,,HECOM,OSIBONA O.,,GBR,,,,,COMMUNICATEDCASES,8;8-1,4.7934923,22225/19;80343/17;54273/00;46410/99
Communicated,,,24514/19;55569/19,,ENG,,001-211400,4,,HALLAÇOĞLU v. TURKEY and 1 other application,,,,HECOM,,,TUR,,,,,COMMUNICATEDCASES,5;5-1;5-4;6;6-1;6-3-b;6-3-c;7;7-2;8;8-1;8-2;13;14;17;18;P12-1,4.7934923,24514/19;55569/19;11236/09
Communicated,,,40796/19,,ENG,,001-211401,4,,AKKURT v. TURKEY,,,,HECOM,,,TUR,,,,,COMMUNICATEDCASES,8;8-1;9;9-1;10;10-1,4.7934923,40796/19;77097/01
Communicated,,,39488/15,,ENG,,001-211406,4,,MALYEYEV v. UKRAINE,,,,HECOM,PYESKOV V. G.,,UKR,,,,,COMMUNICATEDCASES,5;5-1-c;8;8-1;8-2;P1-1,4.7934923,39488/15;30198/11;41716/06;4322/06
